Term,Source,Category,Definition,
"moraine, Fluted ",SwissEdu,Landform,"A set of low ridges formed parallel to ice flow, metre-scale in width, 100 metre-scale in length. They commonly extend down-valley from a boulder, and consist of till.",
"moraine, Fluted lateral ",SwissEdu,Landform,Tall lateral moraines on the sides of receding valley glaciers are commonly so steep that rapid erosion and gullying takes place on their side facing the glacier and causes vertical channels (flutes).,
"moraine, Ground",1-NSIDC,Glaciers,Continuous layer of till near the edge or underneath a steadily retreating glacier.,
"moraine, Kettle",PhysicalGeography.net,Landform,An area of glaciofluvial influenced moraine deposits pitted with kames and kettle holes.  ,
"moraine, Lateral",1-NSIDC,Glaciers,A ridge-shaped moraine deposited at the side of a glacier and composed of material eroded from the valley walls by the moving glacier.,
"moraine, Looped",SwissEdu,Glaciers,"Curving, folded or teardrop-shaped medial moraine resulting from a surge of a tributary glacier.",
"moraine, Medial",1-NSIDC,Glaciers,"A ridge-shaped moraine in the middle of a glacier originating from a rock outcrop, nunatak, or the converging lateral moraines of two or more ice streams.",
"moraine, Push ",1-NSIDC,Glaciers,Moraine built out ahead of an advancing glacier.,
"moraine, Recessional ",2-Molnia,Glaciers,A ridge of glacial sediment that forms when the terminus of a retreating glacier remains at or near a single location for a period of time sufficient for a cross-valley accumulation to form.,
"moraine, Terminal ",2-Molnia,Glaciers,"Terminal moraines are piles of loose unconsolidated rock at the glacier's downvalley end. The rocks may be pushed there by the forward motion of the glacier or dumped from the glacier's rounded surface. As glaciers melt, their remaining load of rocks is distributed in several ways. Rocks may be dropped in place by the melting ice; they may be rolled to the ice margins, or they may be deposited by meltwater streams. Collectively, these deposits are called 'glacial drift'. 'Till' refers to the debris deposited directly by the glacier. Rock debris rolls off the glacier edges and builds piles of loose unconsolidated rocks called 'glacier moraine'. 'Lateral moraines' form along the side of a glacier and curl into a 'terminal moraine' at the glacier's downvalley end. Drift and moraines are valuable to geologists because they outline the boundaries of past glaciations.",
Nye channel,SwissEdu,Landform,(named after a British physicist) A channel cut into bedrock by subglacial meltwater under high pressure. Usually less than 1 m wide. Commonly deeper than it is wide.,
Outwash,PhysicalGeography.net,Misc,Glaciofluvial sediments deposited by meltwater streams at the edge of a glacier.  ,
Outwash plain,2-Molnia,Snow,"A broad, low-slope angle alluvial plain composed of glacially eroded, sorted sediment (termed outwash), that has been transported by meltwater. The alluvial plain begins at the foot of a glacier and may extend for miles. Typically, the sediment becomes finer grained with increasing distance from the glacier terminus.",
P-forms,SwissEdu,Landform,"(or plastically moulded forms) Smooth rounded forms of various types cut into bedrock by the combined erosive power of ice, meltwater and subglacial sediment under high pressure.",
Paraglacial environment,Trombotto et al. 2014,Glaciers,"Non-glacial Earth surface processes, sediment Accumulations, landforms, land systems and landscapes that are directly conditioned by glaciation and deglaciation.",
Paraperiglacial environment,Trombotto et al. 2014,Misc,"Environment, often also partly-included in the Periglacial Environment, which is dominated by seasonal freezing, but does not contain Permafrost, or perennial Ground Ice. For example, sorted ground can develop in this environment where the processes are driven by Frost Weathering.",
Periglacial,1-NSIDC,Glaciers,"The conditions, processes and landforms associated with cold, nonglacial environments.",
Periglacial climate,AMS,Atmosphere,The climate characteristic of the regions immediately bordering the outer perimeter of an ice cap or continental glacier.  The principal climatic feature is the high frequency of very cold and dry winds off the ice area. These regions have been thought to create ideal conditions for the maintenance of a belt of intense cyclonic activity.,
Periglacial environment - Andean definition,Trombotto et al. 2014,Glaciers,"The environment, which is cold and cryogenic, but not Glaciated, above of the tree line if existent. There is no clear physical limit to the glacial environment and its boundary is diffuse. However, the limit to the non-Periglacial Environment is clearly marked by the following indicators: occurrence of Permafrost in depth, including permanently frozen soil and possibly presence of Ground Ice preserved under natural conditions for long periods of time. This constitutes the decisive element whereby an environment is called Periglacial or cryogenic environment dominated by cycles of freezing and thawing affecting rocks and the top of the soil; and presence of Solifluction / Gelifluction and other cryogenic processes (Frost Weathering, sorting, Cryoturbation, etc.) that lead to the so-called Periglacial geomorphology, such as the formation of small scale sorted ground or Rock Glaciers on a mesoscale. For some authors of the northern hemisphere the presence of Permafrost is not a prerequisite for the Periglacial Environment, however, it is for the cryo-scientists working in the Andes.",
Periglacial environment - Northern Hemisphere definition,Trombotto et al. 2014,Glaciers,"The Periglacial Environment is defined as those areas in which Frost Action and / or Permafrost related processes dominate. Note: In the early definition of the Periglacial Environment two criteria were regarded as diagnostic of the Periglacial Environment: i) there is ground freezing and thawing, and ii) presence of perennially Frozen Ground. Today, Permafrost is considered to not being the only diagnostic criterion because Permafrost is a thermal concept, whereas Periglacial is a geomorphological definition that is concerned with landforms and processes that are not controlled by temperature alone.",
Periglacial phenomena,1-NSIDC,Glaciers,Landforms and soil characteristics produced by periglacial processes.,
Periglacial processes,1-NSIDC,Glaciers,"Processes associated with frost action in cold, nonglacial environments.",
Plucking,2-Molnia,Glaciers,"The mechanical removal of pieces of rock from a bedrock face that is in contact with glacier ice. Blocks are quarried and prepared for removal by the freezing and thawing of water in cracks, joints, and fractures. The resulting pieces are frozen into the glacier ice and transported.",
Protalus rampart,Trombotto et al. 2014,Glaciers,"A Protalus Rampart is a ridge or ramp of debris that develops along the lower margin of a perennial Snow Patch. Early studies assumed that they were formed simply through the Accumulation of rock fall debris. Two views on the origin of Protalus Rampart compete. The first suggests that they are part of a linear developmental continuum of Rock Glaciers, thus thought to be due to Permafrost Creep. The second view suggests that Protalus Ramparts are not part of a developmental continuum of Rock Glaciers. Although very common in the central Andes, there are few studies devoted to these landforms (Trombotto, 2000). Note: This type of landform, when larger than 0.01 km2 and showing downslope movements, it could already be considered as a Rock Glacier.",
Quartz microtexture of the periglacial environment,Trombotto et al. 2014,Misc,"Micro textural characteristics of the quartz grains (sand size) that exist in sediments found in the Periglacial Environment. Their characteristics are related to cryogenic processes like frost weathering, sorting, cryoturbation and friction intergranular movements due to freezing and thawing cycles in sedimentary deposits. The main characteristics are: grains with a high degree of roughness, angular, conchoidal fractures, chatter marks, straight and curved lines, and graduated arches. There are also micro phenomena in terms of deposition and dilution.",
Riegel,SwissEdu,Landform,"(from the German) A rock barrier that extends across a glaciated valley, usually comprising harder rock than above and below, and commonly having a smooth up-valley facing slope and a rough down-valley facing slope.",
Roche moutonnee,2-Molnia,Glaciers,A roche moutonnee is a small asymetrically-shaped hill formed by glacial erosion. The upper sides are rounded and smoothed and the lower sides are rough and broken due to quarrying by the glacier. Bedrock knobs are commonly polished on their upper side and are quarried and broken on the lower. These rounded knobs are formed in all sizes. Observers of the 1700s thought they resembled fashionable wavy wigs of their day and named the rouches moutonnees.,
Rock basin,SwissEdu,Landform,A lake- or sea-filled bedrock depression carved out by a glacier.,
Sandur,SwissEdu,Landform,(plur. Sandar; from the Icelandic) Extensive flat plain of sand and gravel with braided streams of glacial meltwater flowing across it. Sandar are usually not bounded by valley walls and commonly form in coastal areas.,
Scour,PhysicalGeography.net,Misc,(1) Refers to the erosive power of water. (2) Abrasive effects of rocks and sediments incorporated in the ice base of a glacier.,
Simple basin ,GLIMS Manual,Landform,Glacier is fed from one single basin; Catchment area is detectable; Defined and limited by underlying or surface topographic features; Develops a glacier tongue out of one basin; Single accumulation area; Does not need to be located in a valley (-> Mountain glacier),
striations,1-NSIDC,Glaciers,Grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial grooves.,
Tarn,SwissEdu,Freshwater ice,A small lake occupying a hollow eroded out by ice or dammed by a moraine; especially common in cirques (q.v.).,
Till,2-Molnia,Glaciers,"Till is the unsorted rock debris deposited directly by the glacier without the extreme reworking by meltwater. As glaciers melt, their remaining load of rocks is distributed in several ways. Rocks may be dropped in place by the melting ice; they may be rolled to the ice margins, or they may be deposited by meltwater streams. Collectively, these deposits are called 'glacial drift'. 'Till' refers to the debris deposited directly by the glacier. Rock debris rolls off the glacier edges and builds piles of loose unconsolidated rocks called 'glacier moraine'. 'Lateral moraines' form along the side of a glacier and curl into a 'terminal moraine' at the glacier's downvalley end. Drift and moraines are valuable to geologists because they outline the boundaries of past glaciations.",
Till plain,PhysicalGeography.net,Landform,Extensive flat plain of till that forms when a sheet of ice becomes detached from the main body of the glacier and melts in place depositing the sediments it carried.  ,
Tillite,SwissEdu,Misc,"The hard rock equivalent of till: A mixture of mud, sand and gravel-sized material deposited directly from glacier ice which, later on, solidified.",
Trimline,2-Molnia,Glaciers,"A clear boundary line on the wall of a glacier valley that delineates the maximum recent thickness of a glacier. It may be a change in the color of the bedrock, indicating the separation of weathered from unweathered bedrock; the limit of a former lateral moraine or other sediment deposit; or the boundary between vegetated and bare bedrock.",
trough,1-NSIDC,Glaciers,U-shaped valleys transformed from v-shaped stream valleys due to erosion caused by passing glaciers.,
Trough,UK Antarctic,Glaicers,Depression of sea floor applied in this work to such a feature beneath an ice shelf.,
U-Shaped valley,2-Molnia,Glaciers,"A valley with a parabolic or 'U' shaped cross-section, steep walls and generally a broad and flat floor. Formed by glacier erosion, a U-shaped valley results when a glacier widens and over-steepens a V-shaped stream valley.",
Valley train,PhysicalGeography.net,Landform,A linear accumulation of glaciofluvial outwash sediments found in a once glaciated valley.  ,
Valley wall,PhysicalGeography.net,Landform,The side slope of a stream or glacial valley.  ,
Whaleback,SwissEdu,Landform,"A smooth, scratched, glacially eroded bedrock knoll several metres to a few hundred metres high, and resembling a whale in profile.",
