Term,Source,Category,Definition,
"glacier, Summer-accumulation type ",IACS-UNESCO,Glaciers,"A type of glacier on which the regional seasonality results in extrema of ablation rate and accumulation rate at roughly the same time. On a glacier of summer-accumulation type, mass balance remains relatively stable throughout the year. This is typical of high-altitude, low-latitude glaciers with a summer precipitation maximum.",
"glacier, Surge-type ",IACS-UNESCO,Glaciers,"A glacier that has been observed to surge, or is inferred from evidence such as contorted medial moraines to have surged in the past.",
"glacier, Surging ",1-NSIDC,Glaciers,"A glacier that experiences a dramatic increase in flow rate, 10 to 100 times faster than its normal rate; usually surge events last less than one year and occur periodically, between 15 and 100 years.",
"glacier, Temperate ",2-Molnia,Glaciers,A glacier with a or temperature-regime in which liquid water coexists with frozen water (glacier ice) during part or even all of the year.,
"glacier, Terrestrial ",GLIMS Manual,Glaciers,Glaciers which rest on their entire extent on bedrock and do not have any contact to sea.,
"glacier, Tidewater ",1-NSIDC,Glaciers,Mountain glacier that terminates in the ocean.,
"glacier, Tributary ",1-NSIDC,Glaciers,A small glacier that flows into a larger glacier.,
"glacier, Valley ",1-NSIDC,Glaciers,A mountain glacier whose flow is confined by valley walls.,
"glacier, Warm-based ",IACS-UNESCO,Glaciers,A glacier whose bed is at its pressure-melting point. Wet-based glacier is a synonym.,
"glacier, Wet-based ",IACS-UNESCO,Glaciers,A glacier the bed of which is at its pressure-melting point. Warm-based glacier is a synonym.,
"glacier, Winter-accumulation type",IACS-UNESCO,Sea ice,"A type of glacier, typically at mid-latitudes or high latitudes, on which the regional seasonality leads to accumulation predominating in the winter season and ablation predominating in the summer season.",
"glacier, Year-round ablation type",IACS-UNESCO,Glaciers,"A type of glacier on which ablation by melting or sublimation occurs throughout the year. Year-round ablation is typical of glaciers in the inner tropics, where there are two seasonal temperature maxima each year, and seasonal temperature variations are smaller than diurnal temperature variations. The seasonal variation of mass balance is affected more by variation of accumulation rates between wet and dry seasons than by variation of ablation rates between winter and summer. Year-round ablation is also observed at low altitude on glaciers in some warm maritime climates, as in Norway, and on high-latitude glaciers where ablation is predominantly by sublimation, as in the Dry Valleys of Antarctica.",
Glacieret,1-NSIDC,Glaciers,A very small glacier.,
Glacieret and snowfield ,GLIMS Manual,Snow,"Very small ice or snow masses; Virtually no ice movement; Accumulation and ablation area not always clearly detectable; Small ice masses of indefinite shape in hollows, river beds and on protected slopes, which has developed from snow drifting, avalanching and/or especially heavy accumulation in certain years; usually no marked flow pattern is visible, exist for at least two consecutive years; Hard to detect by remote sensing analysis, due to size and short term changes in the appearance",
Glacierized,1-NSIDC,Glaciers,Land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favour.,
Glaciofluvial,PhysicalGeography.net,Glaciers,Geomorphic feature whose origin is related to the processes associated with glacial meltwater.  ,
Glaciological noise,IACS-UNESCO,Snow,"In an ice core, fluctuations in layer thicknesses that are due not to variations in the rate of spatially averaged Annual accumulation but to redistribution of snow by the wind, including the migration of snow dunes and sastrugi across the core site.",
Glaciology,AMS,Glaciers,"The study of snow and ice on the earth's surface.  It includes the study of glaciers, snow, and sea ice.",
Grounding line,IACS-UNESCO,Freshwater ice,"The set of points separating the floating part of a glacier from the grounded part. See flotation. Usually the floating part is downstream and the grounded part is upstream. However, the 'shorelines' of subglacial lakes are grounding lines.",
Group,GLIMS Manual,Glaciers,Neighbouring small glaciers; Slightly connected but too small to be treated separately; A number of similar small ice masses occurring in close proximity and too small to be assessed individually ,
Hypsometry,IACS-UNESCO,Glaciers,"The measurement of the distribution of glacier area with surface altitude (elevation), or more loosely the result of such measurement. Hypsometric and topographic data are essential for converting measurements of the mass-balance profile to glacier-wide estimates of the mass balance. Hypsography is a synonym. See area-altitude distribution, hypsometric curve.",
Ice bands,AMS,Glaciers,Ice layers formed by separate accumulation events and exposed at a glacier front or a crevasse wall.,
Ice bay,AMS,Ice Sheets and shelves,A baylike recess in the edge of a large ice floe or ice shelf. (Also called ice bight.) ,
Ice cap,1-NSIDC,Glaciers,"A dome-shaped mass of glacier ice that spreads out in all directions; an ice cap is usually larger than an icefield but less than 50,000 square-kilometers (12 million acres).",
"ice cap, Polar ",1-NSIDC,Glaciers,"A high-latitude region covered in ice; not a true ice cap, which are less than 50,000 square kilometers (12.4 million acres) and are always over land; more like an ice sheet; also called polar ice sheet.",
Ice cave,1-NSIDC,Glaciers,"A cave of ice, usually underneath a glacier and formed by meltwater; cave entrances are often enlarged near a glacier terminus by warm winds; most common on stagnant portions of glaciers.",
Ice cliff (ice wall),SwissEdu,Glaciers,"A vertical face of ice, normally formed where a glacier terminates in the sea, or is undercut by streams. These terms are also used more specifically for the face that forms at the seaward margin of an ice sheet or ice cap, and that rests on bedrock at or below sea level.",
Ice core,1-NSIDC,Snow,"A core sample drilled from the accumulation of snow and ice over many years that have recrystallized and have trapped air bubbles from previous time periods, the composition of which can be used to reconstruct past climates and climate change; typically removed from an ice sheet (Antarctica and Greenland) or from high mountain glaciers elsewhere.",
Ice covered,1-NSIDC,Glaciers,Land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favour.,
Ice crystal,AMS,Snow,"Any one of a number of macroscopic, crystalline forms in which ice appears, including hexagonal columns, hexagonal platelets, dendritic crystals, ice needles, and combinations of these forms.  The crystal lattice of ice is hexagonal in its symmetry under most atmospheric conditions. Varying conditions of temperature and vapor pressure can lead to growth of crystalline forms in which the simple hexagonal pattern is present in widely different habits (a thin hexagonal plate or a long thin hexagonal column). In many ice crystals, trigonal symmetry can be observed, suggesting an influence of a cubic symmetry. The principal axis (c axis) of a single crystal of ice is perpendicular to the axis of hexagonal symmetry. Planes perpendicular to this axis are called basal planes (a axes related to the prism facets) and present a hexagonal cross section. Ice is anisotropic in both its optical and electrical properties and has a high dielectric constant (even higher than water) resulting from its water dipole structure. The electrical relaxation time for water is much shorter than for ice (10^9 Hz compared with 10^4 Hz), resulting from a chain reaction requirement for molecules to relax through defects in the ice lattice. In the free air, ice crystals compose cirrus-type clouds, and near the ground they form the hydrometeor called, remarkably enough, ""ice crystals"" (or ice prisms). They are one constituent of ice fog, the other constituent being droxtals. On terrestrial objects the ice crystal is the elemental unit of hoarfrost in all of its various forms. Ice crystals that form in slightly supercooled water are termed frazil. Ice originating as frozen water (e.g., hail, graupel, and lake ice) still has hexagonal symmetry but lacks any external hexagonal form. Analysis of their sections (0.5 mm) in polarized light reveals different crystal shapes and orientations, depending on the freezing and any annealing and subsequent recrystallization process.",
Ice discharge,IACS-UNESCO,Glaciers,"Mass flux or volumetric flux of ice through a glacier cross section or 'gate'. The gate can be anywhere on the glacier, but is often at or close to the terminus. If the terminus is a calving front, ice discharge is usually in discrete pieces that, when discharged into a body of water, become icebergs, and the ice discharge is equivalent to the calving flux plus the flux due to advance (positive) or retreat (negative) of the calving front. Avalanching from the glacier margin, for example from the margin of a hanging glacier, may constitute ice discharge; see also dry calving.",
Ice divide,1-NSIDC,Glaciers,The boundary separating opposing flow directions of ice on a glacier or ice sheet.,
Ice equivalent,IACS-UNESCO,Snow,"A unit, in full the 'metre [of] ice equivalent', that is an extension of the SI for describing glacier mass in specific units as the thickness (in 'm ice eq.') Of an equal mass having the density of ice. Ice equivalents can be converted to kg m-2 by multiplying by the density of ice, and to water equivalents (m w. E.) By multiplying by the density of ice and dividing by the density of water (with sufficient accuracy, 1000 kg m-3).",
Ice field,2-Molnia,Snow,"A continuous accumulation of snow and glacier ice that completely fills a mountain basin or covers a low-relief mountain plateau to a substantial depth. When the thickness become great enough, tongues of ice overflow the basins or plateaus as Valley Glaciers.",
"ice field, Highland ",SwissEdu,Misc,"A near-continuous stretch of glacier ice, but with an irregular surface that follows approximately the contours of the underlying bedrock, and which is punctuated by nunataks (q.v.).",
Ice flow,AMS,Glaciers,"The motion of ice driven by gravitational forces (see glacier flow) or, for sea ice, wind and water currents.",
Ice front,1-NSIDC,Glaciers,"The vertical cliff forming the seaward face of an ice shelf or other floating glacier, varying in height from 2 to 50 meters (2.2 to 55 yards) above sea level.",
Ice gland,1-NSIDC,Snow,A column of ice in the granular snow at the top of a glacier.,
Ice layer,AMS,Snow,"An ice crust that has been covered by new snow.  When exposed at a glacier front or in crevasses, the ice layers viewed in cross section are termed ice bands.",
Ice piedmont,1-NSIDC,Ice Sheets and shelves,"Ice covering a costal strip of low-lying land backed by mountains; the surface of an ice piedmont slopes gently seawards and may be anything from 1 to 50 kilometers (0.6 to 31 miles) wide, fringing long stretches of coastline with ice cliffs; ice piedmonts frequently merge into ice shelves; a very narrow ice piedmont may be called an ice fringe.",
Ice plain,AMS,Ice Sheets and shelves,An area of slightly grounded ice in the mouth of some ice streams.  Typically an area of very low basal stress.,
Ice raft,AMS,Ice Sheets and shelves,A discrete block of slow-moving land ice that has been incorporated en masse into either an ice stream or an ice shelf.,
Ice rise,1-NSIDC,Ice Sheets and shelves,"A mass of ice resting on rock and surrounded either by an ice shelf, or partly by an ice shelf and partly by sea; no rock is exposed and there may be none above sea level; ice rises often have a dome-shaped surface; the largest known is about 100 kilometers (62 miles) across.",
Ice sheet,1-NSIDC,Glaciers,"A dome-shaped mass of glacier ice that covers surrounding terrain and is greater than 50,000 square kilometers (12 million acres) (e.g., the Greenland and Antarctic ice sheets).",
"ice sheet, Antarctic ",AMS,Ice Sheets and shelves,The continuous ice mass covering most of Antarctica.,
"ice sheet, Continental ",GLIMS Manual,Ice Sheets and shelves,"Unconstrained by topography Continental size Derive their morphological shape from ice flow properties, internal dynamics, and bedrock conditions Inundates areas of Continental size May incorporate individual ice domes",
"Ice Sheet, East Antarctic ",AMS,Ice Sheets and shelves,That portion of the Antarctic Ice Sheet lying predominantly in the Eastern Hemisphere.  A line following the Transantarctic Mountains to the Antarctic Peninsula serves as the boundary between the East and West Antarctic Ice Sheets.,
"Ice Sheet, Greenland",AMS,Ice sheets and shelves,"The contiguous ice sheet covering most of the Greenland subcontinent.  Strictly speaking, it does not also refer to the adjacent small ice caps and glaciers that are physically separated from the main ice mass.",
"ice sheet, Inland ",1-NSIDC,Ice Sheets and shelves,"An ice sheet of considerable thickness and an area of more than about 50,000 square kilometers (12.4 million acres), resting on rock; inland ice sheets near sea level may merge into ice shelves.",
"ice sheet, Marine-based ",IPCC WGI AR5 2013,Ice Sheets and shelves,An ice sheet containing a substantial region that rests on a bed lying below sea level and whose perimeter is in contact with the ocean. The best known example is the West Antarctic ice sheet.,
"Ice Sheet, West Antarctic ",AMS,Misc,That portion of the Antarctic Ice Sheet lying predominantly in the Western Hemisphere.  A line following the Transantarctic Mountains to the Antarctic Peninsula serves as the boundary between the East and West Antarctic Ice Sheets.,
Ice shelf,1-NSIDC,Ice Sheets and shelves,Portion of an ice sheet that spreads out over water.,
Ice shelf nourishing ,GLIMS Manual,Ice Sheets and shelves,Glaciers which are tributaries of an ice shelf. Approximate grounding line may be detectable. This class has been introduced due to the necessity for classifying glaciers which are tributaries of an ice shelf. ,
Ice stream,1-NSIDC,Glaciers,(1) a current of ice in an ice sheet or ice cap that flows faster than the surrounding ice (2) sometimes refers to the confluent sections of a branched-valley glacier (3) obsolete synonym of valley glaciers.,
Ice wall,1-NSIDC,Ice Sheets and shelves,"An ice cliff forming the seaward margin of an inland ice sheet, ice piedmont or ice rise; the rock basement may be at or below sea level.",
Internal deformation,SwissEdu,Glaciers,"The component of glacier flow that is the result of the deformation of glacier ice under the influence of accumulated snow and firn, and of gravity.",
