Term,Source,Category,Definition,
Accumulation,1-NSIDC,Snow,"All processes by which snow or ice are added to a glacier, this is typically the accumulation of snow, which is slowly transformed into ice; other accumulation processes can include avalanches, wind-deposited snow, and the freezing of rain within the snow pack.",
Accumulation area,2-Molnia,Snow,The part of a glacier that is perennially covered with snow.,
Accumulation season,IACS-UNESCO,Glaciers,"A time span extending from a seasonal minimum of glacier mass to a seasonal maximum. The accumulation season is the same as the winter season on most glaciers, which are of winter-accumulation type. Special cases include glaciers of summer-accumulation type and year-round ablation type, and glaciers that have more than one accumulation season during the year.",
Accumulation zone,IACS-UNESCO,Snow,"The part of the glacier where accumulation exceeds ablation in magnitude, that is, where the cumulative mass balance relative to the start of the mass-balance year is positive. Unless qualified, for example by giving a date within the year, references to the accumulation zone refer to its extent at the end of the mass-balance year. The extent of the accumulation zone can vary strongly from year to year. The accumulation zone is not the same as the firn area.",
Accumulation-area ratio AAR,IACS-UNESCO,Glaciers,"The ratio, often expressed as a percentage, of the area of the accumulation zone to the area of the glacier. The AAR is bounded between 0 and 1. On many glaciers it correlates well with the climatic mass balance. The likelihood that the climatic mass balance will be positive increases as the AAR approaches 1. Unless qualified by a different adjective, references to the AAR refer to the Annual AAR.",
"accumulation, Annual",IACS-UNESCO,Misc,Accumulation integrated over the mass-balance year. Annual accumulation is the sum of winter accumulation and summer accumulation where winter and summer are well-differentiated. Formerly it was referred to as 'total accumulation' when working in the stratigraphic system.,
"accumulation, Basal ",IACS-UNESCO,Glaciers,"The freezing of water to the base of the glacier, increasing the mass of the glacier and Antarctic Ice Sheeting its basal temperature if that temperature is below the freezing point. The result of basal accumulation is typically observable in ice cores or at glacier margins as accreted ice that is relatively clear, often with some concentration of dispersed sediments incorporated from the glacier bed during freezing. Accreted ice may also be distinguishable from glacier ice (the latter sometimes referred to as meteoric ice in this context) by differences in isotopic content, geochemical composition and optical properties, and may have distinctive dielectric properties by which it can be recognized in ground-penetrating radar records. Accreted ice at the base of an ice shelf is referred to as marine ice. For purposes of the glaciological method, basal accumulation is indistinguishable from internal accumulation in that both represent addition of mass to the glacier that goes unaccounted for by surface observations.",
"accumulation, Internal ",IACS-UNESCO,Snow,"Refreezing of water within a glacier, between the summer surface and the bed, which goes undetected by measurements of surface mass balance. See mass-balance units, zone. Accumulation beneath the summer surface is the refreezing of surface meltwater (or freezing of rain) that is in transit and otherwise would have left the glacier as runoff. In the case of meltwater, it may be regarded as redistributing mass within the glacier. This may require careful accounting in the calculation of mass balance. Internal accumulation proceeds by the freezing of water that percolates early in the ablation season into firn that is still cold, heating the firn in the process, or by the freezing of retained pore water during the accumulation season, also releasing latent heat and thus slowing the downward advance of the winter cold wave. The term is reserved for refreezing beneath the summer surface, that is, within the firn or the ice. Meltwater that refreezes within the snow does not constitute internal accumulation since it is accounted for by end-of-season density measurements as part of conventional mass-balance measurements. Internal accumulation may be small in magnitude, and negligible on temperate glaciers, but if not accounted for it constitutes a bias towards overestimation of mass loss. In remote-sensing studies, it is not always possible to detect the summer surface. In addition models of the surface mass balance do not always distinguish between internal accumulation and refreezing within the snow. To avoid confusion, it is advisable to use 'internal accumulation' only in the sense given above and to use the more inclusive 'refreezing' only for 'internal accumulation plus refreezing within the snow'. Refreezing within the snow should be described as such explicitly.",
"accumulation, Net ",IACS-UNESCO,Ice general,"The sum, if positive, of accumulation and ablation over any time period; if the sum is negative then net accumulation is zero. In the accumulation zone the net accumulation is equal to the mass balance. The term appears often in ice-core studies, where the layer thickness is related to the mass balance.",
"accumulation, Summer ",IACS-UNESCO,Misc,Accumulation integrated over the summer season. Part or all of summer accumulation may be lost by ablation before the end of the summer season.,
"accumulation, Surface ",IACS-UNESCO,Glaciers,"Accumulation at the surface of the glacier, generally measured as the rise of the surface with respect to the summer surface multiplied by the density of the added mass.",
"accumulation, Total ",IACS-UNESCO,Misc,A term formerly used in the stratigraphic system (Anonymous 1969; Appendix A/1 /2or Annual accumulation.,
"accumulation, Winter ",IACS-UNESCO,Misc,Accumulation integrated over the winter season. Winter accumulation is not the same as winter mass balance. It is generally larger because some of the accumulated mass may be lost by ablation. Mass-balance measurements by the glaciological method generally measure winter mass balance and not winter accumulation.,
advance,1-NSIDC,Glaciers,When a mountain glacier's terminus extends farther downvalley than before; occurs when a glacier flows downvalley faster than the rate of ablation at its terminus.,
Alimentation,WMO METEOTERM,Glaciers,"Various processes which operate to increase the mass of a glacier or of a snow-field (deposition of snow, precipitation, sublimation, etc.)",
Annual exchange,IACS-UNESCO,Glaciers,"Annual accumulation minus Annual ablation. Ablation is defined to be negative, so the Annual exchange may also be regarded as the sum of the absolute values of accumulation and ablation. It is a possible measure of the amplitude of mass exchange between the glacier and its environment, but the mass-balance amplitude is more often used for that purpose. Formerly Annual exchange was defined only in the fixed-date system and total exchange was defined as its equivalent in the stratigraphic system.",
Area S,IACS-UNESCO,Glaciers,"Extent in two spatial dimensions, always understood in mass-balance work (when the two dimensions are horizontal) to be map area, that is, the extent of the glacier or part thereof when the glacier outline is projected onto the surface of an ellipsoid approximating the surface of the Earth or onto a planar (horizontal) approximation to that ellipsoid. In mass-balance studies, except for ice discharge and for the special case of frontal ablation, lengths such as layer thicknesses are always measured parallel to the vertical axis and not normal to the glacier surface. When calculating volumes within a specified outline, the area to be used is therefore the integral of ds (an element of projected area) and not the integral of sec ds, the so-called 'true' area (where is the slope of the glacier surface). The glacier area excludes nunataks but includes debris-covered parts of the glacier. However, delineating the glacier where it is debris-covered can be very difficult, because the debris may cover stagnant ice and there may be no objective way to distinguish between the debris-covered glacier and contiguous ice-cored moraine.",
Area-averaged,IACS-UNESCO,Glaciers,Descriptive of a quantity that has been averaged over part or all of the area of the glacier. The area-averaged mass balance is simply the specific mass balance of the region under consideration. The adjective has sometimes been used to emphasize that the specific mass balance is that of the whole glacier and not of a 'specific' location. 'Mean specific mass balance' has been used in the same sense.,
Avalanching,IACS-UNESCO,Snow,"Mass transfer by avalanches which redistribute snow, firn and ice. Avalanching from a valley wall to the glacier surface constitutes accumulation. Avalanching from the glacier margin constitutes ablation.",
Balance flux,IACS-UNESCO,Glaciers,"The hypothetical horizontal mass flux (dimension [M T-1]) through a vertical cross section that would be equal to the mass balance (usually the climatic mass balance) over the region upglacier from the cross section. Comparison of balance flux and actual mass flux at the same cross section gives an indication of the health of the glacier. If the mass balance of the glacier is zero it follows that at the terminus the balance flux and mass flux are equal, and if there is also no calving that they are equal to zero. If the two are equal at all cross sections the glacier is in steady state.",
Balance velocity,IACS-UNESCO,Glaciers,"The volumetric balance flux divided by the area of the vertical cross section through which it passes. Comparison of balance velocity to actual velocity, that is, to the actual volumetric flux (mass flux divided by average density) divided by the area of the vertical cross section, gives an indication of the health of the glacier.",
"balance, Net ",AMS,Glaciers,The mass balance at the end of the balance year.  It represents the annual addition or loss of mass at a point on a glacier. ,
"balance, Reference-surface ",IACS-UNESCO,Glaciers,"The glacier-wide mass balance that would have been observed if the glacier surface topography had not changed since a reference date. The time-invariant surface is called the 'reference surface', and is defined at some convenient time within a mass-balance programme, often at the start. The reference-surface balance is obtained when point measurements are extrapolated from their actual altitude to the altitude of the reference surface at the same horizontal position, and then extrapolated over the reference area. The reference surface is likely to differ from the actual surface in both area and area-altitude distribution. Differences in area and area-altitude distribution feed back on the magnitude of glacier response to climate. The reference-surface balance does not incorporate any of these feedback effects and is therefore more closely correlated to variations in climate than is the conventional balance.",
Balanced-budget,IACS-UNESCO,Glaciers,Descriptive of a glacier with a mass balance equal to zero on average over a number of years.,
Basal mass balance,IACS-UNESCO,Glaciers,The change in the mass of the glacier due to basal accumulation and basal ablation over a stated period.,
Benchmark glacier,IACS-UNESCO,Glaciers,"In the monitoring strategy of the United States Geological Survey, a glacier on which detailed measurements of seasonal glacier mass changes, meteorological environment, and stream flow variations are collected on a continuing basis.",
"budget, Net ",3-Illustrated Glossary,Glaciers,The difference between accumulation and ablation; usually expressed in terms of volumes of water equivalent per unit area.,
Calve,1-NSIDC,Ice Sheets and shelves,Break off from a larger ice shelf or ice sheet into the water.,
Calving,1-NSIDC,Freshwater ice,"Process by which ice breaks off a glacier's terminus usually the term is reserved for tidewater glaciers or glaciers that end in lakes, but it can refer to ice that falls from hanging glaciers.",
Calving flux,IACS-UNESCO,Glaciers,"The mass flux, with dimension [M T-1], of ice by calving from a glacier margin.",
Calving front,IACS-UNESCO,Freshwater ice,"A glacier margin from which discrete pieces of ice calve or break off, to become icebergs if the margin stands or floats in sea or lake water.",
Calving rate,IACS-UNESCO,Misc,"Either the calving flux or the calving velocity, depending on the context.",
Calving velocity,IACS-UNESCO,Glaciers,"The volumetric calving flux divided by the area of projection of the calving glacier margin onto a vertical plane normal to the mean direction of the ice flow. Denoting horizontal velocity components in the direction of the ice flow as u, the calving velocity ucalv can be determined by application of the principle of conservation of mass at the glacier margin: calvu u u L Lbalthin, where ubal is the balance velocity, uthin is the thinning velocity and llis the rate of change of the glacier's length reckoned from a fixed point upglacier from the margin.",
Coffee-can method,IACS-UNESCO,Snow,"A means of measuring the submergence velocity or emergence velocity of the glacier surface by anchoring a stand for a global navigation satellite system (GNSS; usually a Global Positioning System) receiver to the body of the glacier, using a suitable object (such as a coffee can) as an anchor connected to the surface by a cable under tension. The essence of the method is that measured changes in the exposed length of the cable (or equivalent measurements of the local surface mass balance), and in the surface elevation (measured by the GNSS receiver), yield two of the three terms in the continuity equation and allow the third term, the submergence or emergence velocity (that is, the flux divergence) to be determined. Corrections may be needed for the densification (that is, settling) of firn beneath the anchor and for downslope advection of the anchor. The coffee-can method has been used mainly in the accumulation zones of ice sheets, where the surface mass balance can be obtained by ice-core stratigraphy. However in the ablation zone the emergence of cables emplaced for other reasons, such as the measurement of temperature profiles, can serve a similar purpose.",
Conventional balance,IACS-UNESCO,Glaciers,"The mass balance of a glacier, the term having been introduced by Elsberg et al. (2001) to distinguish the mass balance from the reference-surface balance, which is the balance the glacier would have if the glacier surface geometry were fixed in time. Conventional balances are obtained when point measurements over a particular time interval are extrapolated to the glacier area and area-altitude distribution measured during the same time interval. Calculations of conventional balance require repeated mapping of glacier hypsometry at intervals appropriate to the rate of change of the surface geometry. However, maps are often re-calculated at longer time intervals, the reported balances being a combination of conventional and reference-surface balances. Conventional balances are relevant for hydrological applications because they represent the actual mass change of a glacier. Conventional balances are not simply correlated to variations in climate because they incorporate both climate forcing and changes in glacier hypsometry. For glacier/climate investigations the reference-surface balance is a more relevant quantity.",
Cumulative mass balance,IACS-UNESCO,Glaciers,"The mass of the glacier, or part of the glacier, at a stated time relative to its mass at some earlier time t0, considered as a function of time, M (t)  M (t0).",
Downwasting,2-Molnia,Glaciers,The thinning of a glacier due to the melting of ice. This loss of thickness may occur in both moving and stagnant ice. Also called Thinning.,
Dry calving,IACS-UNESCO,Glaciers,"Ice discharge from a glacier margin onto land, usually in discrete pieces.",
Dry-snow line,IACS-UNESCO,Snow,The set of points on a glacier separating the dry-snow zone from the percolation zone. See zone.,
Dry-snow zone,IACS-UNESCO,Glaciers,Region of the glacier where there is neither surface melting nor rainfall. See zone.,
Dynamic thinning,IACS-UNESCO,Glaciers,"The reduction of glacier thickness, in excess of that due to ablation, that results when the flux divergence is positive, that is, when more mass flows out of the thinning region than flows in. See downwasting. Dynamic thinning, when not compensated by thickening in a downstream part of the glacier, implies an enhanced calving flux at the glacier terminus, or an advance of the terminus, or both. See also calving velocity.",
"ELA, Balanced-budget ",IACS-UNESCO,Glaciers,"The ELA, sometimes denoted ELA0, of a glacier with a climatic mass balance equal to zero on average over a number of years. The Balanced-budget ELA is usually estimated as the altitude at which a curve fitted to an observed relation between Annual ELA and Annual mass balance Ba crosses the axis Ba = 0. The uncertainty in such estimates can be substantial, especially when mass-balance sampling is sparse or the equilibrium zone occupies a large fraction of the glacier surface. The Balanced-budget ELA may differ from the steady-state ELA because it is estimated from observations made in conditions that may not approximate to steady state. In particular, most measurements of mass balance published over the past several decades have been negative.",
"ELA, Steady-state ",IACS-UNESCO,Glaciers,"The ELA of a glacier in steady state. The steady-state ELA is difficult to estimate because glaciers are seldom if ever in steady state. It must usually be estimated by modelling. To emphasize that the Balanced-budget ELA and steady-state ELA are distinct concepts, the steady-state ELA should be given a distinctive symbol, perhaps ELA0.",
"ELA, Transient ",IACS-UNESCO,Snow,"The ELA at any instant, particularly during the ablation season. The transient ELA is not in general the same as the average altitude of the transient snowline. The superimposed ice zone lies below the transient snowline and above the transient ELA.",
Elevation change,IACS-UNESCO,Snow,"Vertical changing glacier surface elevation (altitude), typically derived from two elevation measurements, adjusted if necessary for the difference of their respective datum surfaces, at the same (or nearly the same) horizontal coordinates. The elevation of the surface can change due to (i) ablation and accumulation at the surface and bottom of the glacier; (ii) compaction (densification) of snow and firn; (iii) emergence and submergence resulting from ice flow; (iv) changes in subglacial water pressure; (v) tectonic and isostatic movements of the glacier bed; and (vi) geomorphic processes (abrasion, plucking; lodgement of sediment) at the bed. Changes due to (iv) and (vi) can usually be neglected in mass-balance studies, although a correction is sometimes applied for glacial isostatic adjustment (GIA). Surface elevation change is usually similar to thickness change, but (ivvi) above produce elevation changes without changes of the thickness or glacier mass, while (ii) above produces a decrease of thickness with no accompanying change of mass. See continuity equation, geodetic method. In turn, large changes of glacier thickness lead to isostatic changes of the bed elevation.",
Energy balance,IACS-UNESCO,Freshwater ice,"A relation describing the change in the amount of energy stored within a defined volume owing to flows of energy across the boundary of the volume. A change in the amount of stored energy, due for example to the advection or conduction of heat or the absorption or emission of radiation, will result in a change in the temperature or the phase, or both, of the material in the volume. Phase changes, in particular melting and freezing but also sublimation and deposition, couple the energy balance strongly to the mass balance. For example they determine the amount of ablation by melting and sublimation, and so the energy balance must be determined using either an energy-balance model or a temperature-index model in any attempt to model ablation. The surface energy balance is that of an interface or degenerate volume, the thickness of which approaches zero, at the surface of the glacier. Glaciers also have internal and basal energy balances. In cold glaciers and some polythermal glaciers, the largest component of the internal energy balance is usually the heat source due to refreezing. In both the internal and basal energy balances, friction is a mechanical source of heat and heat is conducted (or advected) between adjacent volumes that are not isothermal. The geothermal heat flux is usually a significant term in the basal energy balance and basal mass balance of grounded ice, but the resulting contribution to the climatic-basal mass balance is generally small. Exchanges of heat with sea or lake water must be considered where the ice is afloat.",
Energy of glacierization,IACS-UNESCO,Misc,"A less-used synonym of activity index, appearing mainly in the Russian-language literature.",
Energy-balance model,IACS-UNESCO,Misc,"A model of mass balance in which ablation by melting and sublimation is estimated by solving the surface energy balance. Energy balance models require more input information than temperature-index models, but are preferred for being based on a more complete description of processes, and for superior accuracy when the input information can be supplied accurately.",
Equilibrium,IACS-UNESCO,Glaciers,"A state in which the mass balance is equal to zero over one or more years. Equilibrium may hold for a single column, for an entire flowline, or for an entire glacier. See steady state.",
Equilibrium line,2-Molnia,Misc,Equilibrium line is the boundary between the accumulation area and the ablation area.,
equilibrium line. Annual ,IACS-UNESCO,Misc,"The equilibrium line at the end of the mass-balance year. At the Annual equilibrium line, Annual ablation balances Annual accumulation and the Annual mass balance is zero.",
Equilibrium zone,1-NSIDC,Glaciers,Zone of a glacier in which the amount of precipitation that falls is equal to the amount that melts the following summer.,
Equilibrium-line altitude ELA,IACS-UNESCO,Glaciers,"The spatially averaged altitude of the equilibrium line. The ELA may be determined by direct visual observation, but is generally determined, in the context of mass-balance measurements, by fitting a curve to data representing surface mass balance as a function of altitude (see mass-balance profile). This is often an idealization, because the equilibrium line tends to span a range of altitudes. Many approximations of the ELA have been suggested; the glaciation level and the mid-range altitude are examples. The ELA is understood to be the Annual ELA unless it is qualified as the transient ELA.",
Eustacy,2-Molnia,Glaciers,"Fluctuations in the worldwide sea-level regime caused by changes in the quantity of seawater available. The greatest changes are caused by water being added to, or removed from, glaciers.",
Flux-divergence method,IACS-UNESCO,Glaciers,"Application of the continuity equation to determine mass balance at a point using measurements on the glacier surface or remotely of thickness, thickness change and surface velocity. The required data may be obtained 1 for thickness, from boreholes or radar; 2 for thickness change, from repeated optical surveying, laser altimetry, radar altimetry, photogrammetry, or Global Positioning System determinations of altitude; 3 for surface velocity, from repeated optical surveying or Global Positioning System determinations of stake locations or feature tracking. In the case of several repeated thickness change and velocity determinations, thickness can also be obtained as the solution of a problem in geophysical inverse theory.",
Freezing rain,IACS-UNESCO,Glaciers,"Rain that freezes upon impact, forming a surface coating of glaze, or after percolating below the glacier surface.",
Frontal ablation,IACS-UNESCO,Glaciers,"Loss of mass from a near-vertical glacier margin, such as a calving front. The processes of mass loss can include calving, subaerial melting and subaerial sublimation, and subaqueous frontal melting.",
Geodetic method,IACS-UNESCO,Glaciers,"Any method for determining mass balance by repeated mapping of glacier surface elevations to estimate the volume balance; cartographic method and topographic method are synonyms. The conversion of elevation change to mass balance requires information on the density of the mass lost or gained, or an assumption about the time variations in density (see Sorge's law). Elevation changes are commonly measured using repeated altimetry, photogrammetry or ground surveys. In the past, glacier mapping relied on ground surveying with theodolites and similar instruments, but global navigation satellite system receivers are now usual, offering more rapid and more accurate coverage. The entire glacier surface may be mapped, but more sparse elevation measurements, for example along a central flowline, are often extrapolated to the full glacier surface.",
Glacier fluctuations,IACS-UNESCO,Glaciers,"Glacier changes with time, such as changes of length, area, thickness, volume and mass.",
Glaciological method,IACS-UNESCO,Snow,"A method of determining mass balance in-situ on the glacier surface by measurements of accumulation and ablation, generally including measurements at stakes and in snow pits; direct method has long been a synonym. The measurements may also rely on depth probing and density sampling of the snow and firn, and coring. They are made at single points, the results from a number of points being extrapolated and integrated to yield the surface mass balance over a larger area such as an elevation band or the entire glacier. The internal mass balance and basal mass balance, and ice discharge if any, are treated separately.",
Gravimetric method,IACS-UNESCO,Glaciers,"A technique in which glacier mass variations are calculated from direct measurements of Earth's gravity field. Satellite gravimetry is at present the most feasible method for determining glacier mass balance from changes in gravity. The Gravity Recovery and Climate Experiment (GRACE) consists of two polar-orbiting satellites separated by about 200 km along-track, and is the primary mission for this work to date. Precise measurements of range and range rate are used to construct local gravity fields after correcting for non-gravitational accelerations. Suitable models are used to remove gravity variations resulting from atmospheric, hydrospheric and lithospheric mass variations, leaving a time series that represents the glacier mass balance (usually summed and shown as the cumulative mass balance). GRACE spatial and temporal resolutions as good as 2 arc degrees and 10 days have been achieved. Satellite gravimetry is limited by the quality of observations used to constrain the models of non-glacial mass variations, and at present it can resolve only large and rapidly changing glacier complexes or glacierized regions. A distinctive advantage of the method is that it yields a direct measure of mass and does not require density corrections such as those required for geodetic methods. Glacier mass balance has also been estimated using ground-based gravimeters. Measurements at two or more times yield the change in absolute gravity that results from the change in vertical position of a sensor on the glacier surface or at a fixed position above it, and from changes in glacier mass. This technique may become more widely developed as gravimeter resolution, precision and portability improve.",
Growth time,IACS-UNESCO,Glaciers,The time scale for a glacier to attain steady state from an initial state of zero mass. See response time.,
Hydrological year,IACS-UNESCO,Glaciers,"A period of one year, synchronized with the natural progression of the hydrological seasons by specifying the calendar date of its first day. Generally in glaciology the hydrological year is found to be convenient because it begins near the start of the accumulation season and ends near the end of the ablation season. For example the appropriate dates are 1 October to 30 September in the mid-latitudes of the Northern Hemisphere. The concept of the hydrological year is most useful where the accumulation and ablation seasons are well differentiated, as on mid-latitude glaciers and most high-latitude glaciers, but it is less well suited to those regions in which there are more than two hydrological seasons, as in the tropics, or in which most of the accumulation occurs in the same season as most of the ablation, as in monsoon climates (see summer-accumulation type.).",
Ice avalanche,SwissEdu,Ice general,A mass of ice which has detached itself from a steep glacier and which is descending on to the terrain below.,
Kinematic method,IACS-UNESCO,Glaciers,"Any method of determining the mass balance that involves measurement or calculation of glacier flow, including the flux-divergence method, the kinematic-equation method and methods in which the mass balance is determined as the sum of the discharge through a cross section and the surface mass balance of the region upglacier from the cross section. Information about density is needed to convert the volumetric fluxes obtained by kinematic methods to mass fluxes.",
Mass balance,1-NSIDC,Glaciers,The difference between accumulation and ablation on a glacier; usually calculated on an annual basis.,
"mass balance, Annual ",IACS-UNESCO,Misc,"The sum of accumulation and ablation over the mass-balance year, equivalent to the sum of Annual accumulation and Annual ablation, and also to the sum of winter mass balance and summer mass balance where winter and summer are well-differentiated; that is, ba = ca + aa = bw + bs. For reasons explained more fully under Net mass balance, the term Annual mass balance replaces the formerly distinct terms 'Annual balance' and 'net balance', which were used in the fixed-date system and the stratigraphic system respectively. The adjective 'Annual' describes the time span of the mass-balance measurement more adequately than the adjective 'net', which does not refer to a time period but rather to the mass that is remaining after all deductions (here ablation) have been made.",
"mass balance, Climatic ",IACS-UNESCO,Glaciers,"The sum of the surface mass balance and the internal mass balance; see also climatic-basal mass balance. The term is introduced to preserve the distinction between its two components, which is compromised if surface mass balance is redefined to include internal accumulation. The qualifier 'climatic' reflects the fact that the surface and internal balances both depend strongly on interaction between the glacier, the hydrosphere and the atmosphere.",
"mass balance, Climatic-basal ",IACS-UNESCO,Glaciers,"The sum of the climatic mass balance and the basal mass balance. The expression b csfc asfc ci ai cb ab states that the climatic-basal mass balance b is the sum of surface accumulation csfc, surface ablation asfc, internal accumulation ci, internal ablation ai, basal accumulation cb and basal ablation ab. The sum of cb and ab is the basal mass balance. The sum of ci and ai is the internal mass balance. The sum of csfc and asfc is the surface mass balance. The sum of the surface mass balance and internal mass balance (the first four quantities on the right of the expression) is the climatic mass balance. The sum of the six quantities on the right (that is, of the climatic mass balance and the basal mass balance) is the climatic-basal mass balance. The climatic-basal mass balance includes all those components of mass change that do not arise from glacier flow or frontal ablation. The qualifier 'basal' does not exclude a role for the climate, for example through interactions between the atmosphere and the ocean.",
"mass balance, Internal ",IACS-UNESCO,Glaciers,"The change in the mass of the glacier due to internal accumulation and internal ablation over a stated period. See mass-balance units, climatic mass balance.",
"mass balance, Net ",IACS-UNESCO,Misc,"According to Anonymous (1969), the sum of accumulation and ablation over the mass-balance year in the stratigraphic system. In common usage, 'net balance' has a number of meanings inconsistent with that of Anonymous (1969; Appendix A). It is used for the balance over approximately one year, regardless of the time system (see fixed-date system, floating-date system), and for balances over other periods than the mass-balance year. In these usages 'net' has its plain-language meaning, referring to the change of mass after all deductions (here ablation) have been made. To resolve this ambiguity, it is recommended that the original definition of 'net mass balance' be retired, and that i) Annual mass balance be used instead for the mass balance over a mass-balance year in any time system; and ii) explicit information about the time system be given as metadata whenever it is relevant (as it is for all measurements by the glaciological method). The adjective 'net' thus becomes a plain-language word, and in many cases becomes redundant because the meaning of 'balance' includes the meaning of 'net'.",
