Term,Source,Category,Definition,
Moulin,1-NSIDC,Glaciers,A nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a pothole.,
Negative mill,1-NSIDC,Glaciers,A geyser; a fountain that develops when water from a conduit is forced up to the surface of a glacier.,
Neve,1-NSIDC,Snow,"Young, granular snow that has been partially melted, refrozen and compacted; neve that survives a full season is called firn; firn becomes glacial ice; (2) also refers to the accumulation zone of a glacier.",
Nunatak,1-NSIDC,Glaciers,A rocky crag or small mountain projecting from and surrounded by a glacier or ice sheet.,
Ogive,2-Molnia,Glaciers,"An arcuate, convex, down-glacier-pointing band or undulation that forms on the surface of a glacier at the base of an icefall. Two types of ogives occur: wave ogives, which are undulations of varying height and band ogives, which are alternating light- and dark-colored bands.",
"ogives, Band ",1-NSIDC,Glaciers,Alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter.,
Outcrop,UK Antarctic,Misc,Area of exposed rock surrounded by a glacier or snowfield.,
Penitent,IACS-UNESCO 2009,Snow,"A spike or pillar of compacted snow, firn, or glacier ice caused by differential melting and evaporation. It is the extreme relief of sun cups found most often at high altitudes in low latitude regions; the resulting spikes resemble repentant souls.",
Penitent ice,AMS,Ice general,"A spike or pillar of compacted snow, firn, or glacier ice caused by differential melting and evaporation.  Necessary for this formation are 1) air temperature near freezing; 2) dewpoint much below freezing; and 3) strong insolation. Consequently, penitent ice is most developed on low-latitude mountains, especially the Chilean Andes, but has been found in polar regions. Penitents are oriented individually toward the noonday sun, and usually occur in east-west lines. The term is derived from the Spanish nieve penitente (penitent snow), which is still widely used throughout the literature.",
Percolation,IACS-UNESCO,Snow,"The movement of a liquid such as water through the void spaces of a permeable solid such as snow or firn, the rate of movement being governed by the porosity and liquid content of the solid, the geometric attributes of the pores, including their diameter and tortuosity, and the response of the pore walls to wetting. See infiltration.",
Percolation zone,IACS-UNESCO,Snow,"The part of the glacier where water from surface melting or rainfall percolates into the subsurface; see percolation, zone. In the upper percolation zone, above the wet-snow line, water percolates only into the snow. In the lower percolation zone, also called the wet-snow zone, water percolates into the firn below the summer surface. The lower percolation zone contains the slush zone. If, having percolated, the water refreezes, it warms its surroundings by releasing latent heat. If it refreezes in the firn, the result is internal accumulation. If it refreezes as a layer immediately above the summer surface, it forms superimposed ice. If this superimposed ice becomes exposed by continued surface ablation, the resulting superimposed ice zone is conventionally regarded as distinct from the percolation zone.",
Phase change,PhysicalGeography.net,Misc,"Reorganization of a substance at the atomic or molecular level resulting in a change of the physical state of matter. For example, a change from solid to liquid to a gas.  ",
Porosity,IACS-UNESCO,Snow,"The fraction of any given volume not occupied by solid matter, and therefore available for occupation by fluids such as air and water. In snow and firn the porosity is nearly equal to 1  /i, where  is the density of the dry snow or firn and i the density of ice.",
Pothole,1-NSIDC,Glaciers,A nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a moulin.,
Randkluft,1-NSIDC,Glaciers,A fissure that separates a moving glacier from its headwall rock; like a bergschrund.,
Recrystallization,IACS-UNESCO,Snow,"(1) The metamorphosis, without melting but not necessarily without advection in the vapour phase, of an assemblage of grains of snow and old crystals of ice to a new assemblage of crystals of ice, generally resulting in changes of mean crystal size and orientation (fabric) and, of most significance for mass-balance purposes, an increase of density. See congelation, infiltration ice, glacier. (2) The formation of a new assemblage of crystals from an old assemblage. Sense 1 is the meaning of the term in studies of the densification of snow, while sense 2 is its everyday meaning.",
Recrystallization zone,IACS-UNESCO,Snow,"In the Russian-language literature, where it is sometimes also referred to as the 'snow zone', a synonym of dry-snow zone. See zone.",
Refreezing,IACS-UNESCO,Snow,"The freezing of meltwater generated at the glacier surface, or of rain, that percolates to some depth at which the temperature is below the freezing point. Refreezing below the summer surface represents internal accumulation. Percolating water may also refreeze at the base of snow overlying impermeable glacier ice, in which case it is called superimposed ice. See zone. The release of latent heat heats the layer within which the water freezes.",
S,2-Molnia,Glaciers,"A jagged pinnacle or tower of glacier ice located on the surface of a glacier, formed as a glacier flows down an icefall or by the intersection of crevasses. Frequently, large areas of a glacier will be covered by s",
S rac,SwissEdu,Glaciers,"(from the French) A tower of unstable ice that forms between crevasses, commonly in icefalls or other regions of accelerated glacier flow.",
Sedimentary ogives,1-NSIDC,Snow,"Alternating bands of light and dark at the firn limit of a glacier; the light bands are usually young and lightest at the highest level up-glacier, becoming increasingly older and darker as they progress down-glacier.",
Serac,1-NSIDC,Glaciers,An isolated block of ice that is formed where the glacier surface is fractured.,
Slush zone,1-NSIDC,Snow,Common near the snow line on a relatively flat portion of a glacier where melting snow forms slush.,
Snow bridge,1-NSIDC,Snow,"An arch formed by snow which has drifted across a crevasse, forming first a cornice, and ultimately a covering which may completely obscure the opening.",
Snow density,AMS,Snow,"The ratio of the volume of meltwater that can be derived from a sample of snow to the original volume of the sample; strictly speaking, this is the specific gravity of the snow sample.  Freshly fallen snow usually has a snow density of 0.07 to 0.15; glacial ice formed from compacted snow (or firn) has a maximum density of about 0.91. Values as low as 0.004 have been measured. ",
Snow depth,IACS-UNESCO,Snow,"In the firn area, the vertical distance between the glacier surface and the summer surface; outside the firn area, the vertical distance between the glacier surface and the ice surface (which may be superimposed ice or glacier ice) at the time of observation.",
Snow line,1-NSIDC,Snow,The minimum elevation of snow lying on the ground or glacier surface; the snow line at the end of an ablation season marks a glacier's current equilibrium line.,
Snow metamorphism,IACS-UNESCO 2009,Snow,"The transformation that the snow undergoes in the period from deposition to either melting or passage to glacial ice. Meteorological conditions as well as mechanical or gravitational stresses are the primary external factors that affect snow metamorphism. Dry snow metamorphism is governed by both equilibrium and kinetic growth. In presence of liquid water snow transformation is driven by wet snow metamorphism. In English, snow metamorphism is sometimes and incorrectly called snowmetamorphosis.",
Snow swamp,SwissEdu,Snow,An area of saturated snow lying on glacier ice.,
Superimposed ice,AMS,Ice general,"Ice exposed at the surface of a glacier that was formed by the freezing of melted snow after deposition; usually located below the snow line and above the equilibrium line.  Although it is ice, it is part of the accumulation area.",
Superimposed ice zone,IACS-UNESCO,Snow,"The part of the glacier where superimposed ice is exposed. The superimposed ice zone occupies the range of elevations below the snowline and above the equilibrium line. Superimposed ice may also be found beneath snow of the current year at elevations above the snowline. Whether exposed or beneath the surface, it requires special attention in mass-balance measurements.",
Supraglacial,IACS-UNESCO,Glaciers,Pertaining to the surface of the glacier or to features on the surface.,
Supraglacial debris,SwissEdu,Glaciers,"Debris that is carried on the surface of a glacier. It is normally derived from rockfalls and tends to be angular in character. More rounded material may also be present, raised from the glacier bed or reworked by surface streams.",
Supraglacial stream,SwissEdu,Freshwater ice,A stream that flows over the surface of a glacier. Most supraglacial streams descend via moulins (q.v.) into the depths or base of a glacier.,
table,1-NSIDC,Ice general,A rock that resides on a pedestal of ice; formed by differential ablation between the rock-covered ice and surrounding bare ice.,
Wave ogives,1-NSIDC,Glaciers,"Ogives that show some vertical relief on a glacier; usually the dark bands are in the hollows and the light bands are in the ridges; form at the base of steep, narrow ice falls.",
Weathered ice,1-NSIDC,Snow,Glacier ice that has been exposed to sun or warm wind so that the boundaries between ice crystals are partly disintegrated.,
